topic,normalized_topic
"transcatheter aortic valve replacement balloon-expandable low-risk patients","transcatheter aortic valve replacement balloon expandable low risk patients"
"trastuzumab adjuvant HER2 positive breast cancer BCIRG 006","trastuzumab adjuvant her2 positive breast cancer bcirg 006"
"Trauma resuscitation and head injury","trauma resuscitation and head injury"
"Traumatic brain injury intracranial pressure management","traumatic brain injury intracranial pressure management"
"Treatment-resistant depression ketamine and ECT","treatment resistant depression ketamine and ect"
"triple inhaled therapy COPD moderate to severe exacerbation","triple inhaled therapy copd moderate to severe exacerbation"
"Tuberculosis treatment regimens","tuberculosis treatment regimens"
"Type 1 and type 2 diabetes","type 1 and type 2 diabetes"
"Upper and lower GI bleeding","upper and lower gi bleeding"
"Urinary tract infections and pyelonephritis","urinary tract infections and pyelonephritis"
"Urticaria and angioedema: classification and management","urticaria and angioedema classification and management"
"Vapor Gas Dust and Fume exposures","vapor gas dust and fume exposures"
"Vasopressor and inotrope pharmacology: noradrenaline, vasopressin, dobutamine, milrinone","vasopressor and inotrope pharmacology noradrenaline vasopressin dobutamine milrinone"
"Vasopressors and inotropes in shock","vasopressors and inotropes in shock"
"Venous leg ulcers, lymphoedema and lower leg management","venous leg ulcers lymphoedema and lower leg management"
"Venous thromboembolism and anticoagulation management","venous thromboembolism and anticoagulation management"
"Venovenous ECMO for severe ARDS","venovenous ecmo for severe ards"
"Viral encephalitis diagnostic and empiric acyclovir strategy","viral encephalitis diagnostic and empiric acyclovir strategy"
"Viral haemorrhagic fevers and high-consequence infectious diseases in the ICU","viral haemorrhagic fevers and high consequence infectious diseases in the icu"
"Viral-Induced Arthritides","viral induced arthritides"
"vitamin K antagonist bridging atrial fibrillation perioperative BRIDGE trial","vitamin k antagonist bridging atrial fibrillation perioperative bridge trial"
"Wellens syndrome and left main equivalent ECG patterns","wellens syndrome and left main equivalent ecg patterns"
"Wolfram syndrome DIDMOAD: diabetes insipidus, DM, optic atrophy, deafness","wolfram syndrome didmoad diabetes insipidus dm optic atrophy deafness"
"Zollinger-Ellison Syndrome","zollinger ellison syndrome"
