topic,specialty,guideline_bodies,practice_guideline_mcqs,latest_guideline_year
"Fractional Exhaled Nitric Oxide","Pulmonology","",4,2020
"Pulmonary Tuberculosis","Pulmonology","",4,2025
"Aspiration Pneumonia","Pulmonology","",4,2025
"Bronchial Provocation Testing","Pulmonology","",4,2015
"Flexible Bronchoscopy","Pulmonology","",4,2017
"Hypercapnic Respiratory Failure","Pulmonology","",4,2020
"Invasive Pulmonary Aspergillosis","Pulmonology","",4,2025
"Tracheobronchomalacia","Pulmonology","",4,2024
"Long-Term Oxygen Therapy","Pulmonology","",4,2024
"Lung Transplantation","Pulmonology","",4,2024
"Nonspecific Interstitial Pneumonia","Pulmonology","",4,2021
"Nontuberculous Mycobacterial Lung Disease","Pulmonology","",4,1997
"Pulmonary Rehabilitation","Pulmonology","",4,2025
"Six-Minute Walk Test","Pulmonology","",4,2020
"Thoracic Ultrasound","Pulmonology","",4,2026
"Spontaneous Pneumothorax","Pulmonology","ERS/EACTS/ESTS, American College of Chest Physicians; ERN GENTURIS, ERS/EACTS/ESTS, American College of Chest Phys; ERS/EACTS/ESTS",4,2024
"Ventricular tachycardia catheter ablation","","",4,
"Resistant hypertension renal denervation","","",2,
"Post-cardiac arrest targeted temperature management","","",4,
"Aspirin for primary cardiovascular prevention","","NICE [2]; NICE [6]; NICE [4], [3]",4,
"Cardiac implantable electronic device infection","","",4,
"Pregnancy in chronic kidney disease","","1 NICE 2019; 2 & 3 NICE 2019; 4 NICE 2019",4,
"Drug-induced acute interstitial nephritis","","",4,
"Parkinson disease deep brain stimulation","","NICE 2017 [1]; NICE 2017 [3]; NICE 2017 [2]",4,
"Herpes zoster: dermatomal distribution, antivirals, post-herpetic neuralgia, vaccination in elderly","Infectious Diseases","",4,2020
"Vocal Cord Dysfunction","Pulmonology","",4,2017
"Functional neurological disorder treatment","","NICE guideline [5]; NICE guideline [3]; NICE guideline [4]",3,
"Corticosteroids in septic shock","","",4,
"Renal replacement therapy timing in acute kidney injury","","NICE (General RRT Consensus)",1,
"Targeted temperature management after cardiac arrest","","",4,
"Traumatic brain injury ICU management","","",4,
"Fluid resuscitation type in sepsis and critical illness","","ACCP/SCCM Consensus Conference Committee; ESICM",4,
"Prone positioning in severe ARDS","","ESICM 2017; ATS/ESICM/SCCM 2017; ESICM 2017, Intensive Care Medicine 2019",4,
"Cardiogenic shock: intra-aortic balloon pump and revascularization","","",4,
"Red blood cell transfusion threshold in critical illness","","",4,
"Vasopressor selection in septic and distributive shock","","",4,
"Nutritional support strategy in critical illness","","NICE",4,
"Procalcitonin-guided antibiotic de-escalation in ICU","","NICE 2025",2,
"Neuromuscular blockade in early ARDS","","ESICM 2017; ATS/ESICM/SCCM 2017",4,
"Metabolic resuscitation in sepsis: vitamin C and corticosteroid bundle","","",4,
"COVID-19 critical care: dexamethasone and immunomodulation","","NICE 2018",4,
"Early mobilization and physical rehabilitation in ICU","","NICE [3]; NICE [2]; NICE [1]",4,
"Venovenous ECMO for severe ARDS","","ESICM 2017; ATS/ESICM/SCCM 2017",4,
"Stress ulcer prophylaxis in critically ill patients","","",4,
"Liberation from mechanical ventilation: weaning protocols","","",4,
"ICU-acquired delirium: prevention, assessment, and treatment","","",4,
"Multidrug-resistant TB: MDR, XDR definitions, bedaquiline, delamanid, novel regimens","Infectious Diseases","",4,2024
"High-flow nasal oxygen in acute hypoxemic respiratory failure","","",4,
"Small fibre neuropathy: skin biopsy quantification, autonomic function testing","Neurology","",4,
"Anticoagulation for mechanical heart valves","","NICE [2]; NICE [3]; NICE [1]",4,
"Vericiguat in worsening heart failure","","",4,
"Cardiac myosin activator therapy in HFrEF","","",1,
"Acute myocarditis diagnosis and management","","NICE Guideline 1; NICE Guideline 2; NICE Guideline 3",4,
"Inclisiran for LDL cholesterol lowering","","",4,
"Barrett esophagus dysplasia endoscopic eradication","","",4,
"Celiac disease diagnosis and monitoring","","NICE 2008",1,
"Microscopic colitis budesonide therapy","","NICE 2019, NICE 2012; NICE 2012",2,
"Acute uncomplicated diverticulitis management","","",4,
"Chronic pancreatitis pain and exocrine insufficiency","","NICE 2010 [6], NICE 2010 [4]; NICE 2010 [4], NICE 2010 [6]; NICE [2]",4,
"Choledocholithiasis and acute cholangitis","","",4,
"Post-ERCP pancreatitis prevention","","",4,
"High-frequency oscillatory ventilation and lung recruitment in severe ARDS","","ESICM 2019, ATS/ESICM/SCCM 2017; ESICM 2019; ATS/ESICM/SCCM 2017",4,
"Corticosteroids in ARDS","","ATS/ESICM/SCCM 2023",2,
"Mean arterial pressure targets in septic shock","","",4,
"Subarachnoid hemorrhage ICU management","","NICE [2]; NICE [5]; NICE [6]",4,
"Bempedoic acid cardiovascular outcomes","","NICE TA694, 2021; NICE CG71, 2008 (amended 2023)",4,
"Pneumocystis jirovecii Pneumonia","Pulmonology","",4,2017
"Creutzfeldt-Jakob Disease (CJD): 14-3-3 protein, RT-QuIC, cortical ribboning","Neurology","NICE Guidelines",2,2001
"Central line-associated bloodstream infection prevention in ICU","","",4,
"Candidemia and invasive fungal infections in the ICU","","",4,
"Tranexamic acid and damage control resuscitation in trauma","","NICE 2016",4,
"Conservative versus liberal fluid strategy in ARDS (FACTT trial)","","[2] ESICM: Do not use prolonged high-pressure recruitment ma; [1] ESICM: Do not use routine continuous neuromuscular block",4,
"Alcohol withdrawal syndrome and delirium tremens management in ICU","","[2] NICE, [3] NICE; [3] NICE; [2] NICE",4,
"ARDS epidemiology and global burden (LUNG SAFE study)","","ESICM (conditional), Intensive Care Medicine (Strong); ESICM (strong); ATS/ESICM/SCCM (Strong)",4,
"Post-intensive care syndrome and long-term ICU outcomes","","NICE 2023 [3]; NICE 2010 [2]; NICE 2023 [1]",4,
"ARDS definition: Berlin criteria and severity classification","","ESICM (Guideline 1)",1,
"Neutropenic sepsis: MASCC score, empirical piperacillin-tazobactam, antifungal escalation","Infectious Diseases","",4,2003
"Coronary angiography timing after cardiac arrest","","NICE guideline [5]; NICE guideline [1]; NICE guideline [4]",4,
"5q-minus Syndrome","Haematology","NCCN Guidelines for MDS (general knowledge, not from provide",0,
"Polycythemia vera: ruxolitinib for hydroxyurea-resistant or intolerant disease","","",4,
"Follicular lymphoma: obinutuzumab-based and lenalidomide-rituximab regimens","","[3] NICE June 2026; [1] MODERATE, [2] TA226 2011, [4] NICE June 2026, [5] NICE",4,
"Immune thrombocytopenia: thrombopoietin receptor agonists","","",4,
"Botulism: foodborne vs wound vs infantile, antitoxin, ICU respiratory support","Infectious Diseases","",4,2021
"Aplastic anaemia: immunosuppression with ATG and eltrombopag","","",3,
"Disseminated intravascular coagulation: diagnostic criteria and management","","",3,
"Iron deficiency anaemia: intravenous iron therapy","","[5] NICE; [2] NICE; [1] NICE",4,
"Anticoagulation in atrial fibrillation: CHA2DS2-VASc scoring and DOAC selection","Cardiology","NICE 2021 [4], AWMF [1]; NICE 2021 [3]; NICE 2021 [2]",4,2007
"Obstructive Sleep Apnea","Pulmonology","",4,2022
"Acute pulmonary oedema: NIV, morphine controversy, nitrates, ultrafiltration","Cardiology","NICE",4,2024
"Acute Gouty Arthritis","Rheumatology","",4,
"Chronic Myelomonocytic Leukaemia","Haematology","",4,
"Autoimmune encephalitis: Anti-NMDA receptor, LGI1, Caspr2 antibody profiles","Neurology","",4,2023
"Von Willebrand Disease","Haematology","",4,
"ARDS","ICU / Critical Care","NICE 2023 [G1] — Do not use extracorporeal carbon dioxide re; ESICM 2023 [G2] — Reserve neuromuscular blockade for selecte; ESICM 2023 [G5] — Do not use prolonged high-pressure recruit",4,
"Spontaneous intracranial hypotension: orthostatic headache, brain sag on MRI, blood patch","Neurology","",4,2025
"Triple-Negative Breast Cancer","Oncology","ASCO 2016, NCCN 2023; NCCN 2023",4,
"Hormone Receptor-Positive Breast Cancer","Oncology","ASCO guideline [1]; ASCO guideline [2]; ASCO guideline [3]",4,
"Systemic Mastocytosis","Haematology","NCCN Clinical Practice Guidelines in Oncology [3]; NCCN Guidelines [1, 2]; NCCN Guidelines [1]",4,
"Thyroid Cancer Management","Oncology","",4,
"Male Breast Cancer","Oncology","ASCO [3]",4,
"Oesophageal Cancer","Oncology","ESMO [2]",4,
"Nephrotic Syndrome: Overview and Workup","Nephrology","KDIGO 2025 IgAN guideline",4,
"CKD Staging and Progression","Nephrology","KDIGO Guidelines",0,
"Acute kidney injury prevention management","ICU / Critical Care","KDIGO",0,
"Massive pulmonary embolism: systemic thrombolysis vs catheter-directed therapy","ICU / Critical Care","",4,
"Organophosphate poisoning: mechanism, atropine, pralidoxime","ICU / Critical Care","",4,
"Rhabdomyolysis: causes, AKI prevention, fluid targets","ICU / Critical Care","",4,
"Radiation Pneumonitis","Oncology","",4,
"Latent autoimmune diabetes in adults LADA: GAD antibodies, insulin progression","Endocrinology & Diabetes","",4,
"Behcet disease: oral and genital ulcers, uveitis, pathergy, colchicine, immunosuppression","Rheumatology","",4,
"Diabetic ketoacidosis DKA: fluid protocols, insulin infusion, potassium replacement","Endocrinology & Diabetes","",4,
"Hyperosmolar hyperglycaemic state HHS: osmolarity calculation, fluid replacement","Endocrinology & Diabetes","",4,
"Methotrexate in RA: dosing, folate supplementation, monitoring, toxicity","Rheumatology","EULAR",4,
"Hypoglycaemia: causes, treatment thresholds, hypoglycaemia unawareness","Endocrinology & Diabetes","",4,
"Continuous glucose monitoring CGM: time-in-range targets, hybrid closed loop","Endocrinology & Diabetes","NICE 2020",4,
"Pagets disease of bone: elevated ALP, bisphosphonate therapy, complications","Endocrinology & Diabetes","",4,
"RA and cardiovascular risk: accelerated atherosclerosis, NSAIDs, coxib caution","Rheumatology","",4,
"JAK inhibitors in RA: tofacitinib, baricitinib, upadacitinib: efficacy and cardiovascular safety","Rheumatology","EULAR; EULAR [3], AAAAI/ACAAI [1]; EULAR [3]",4,2024
"Extra-articular RA: nodules, vasculitis, ILD, Felty syndrome, ocular involvement","Rheumatology","",4,
"Diabetic nephropathy: UACR staging, SGLT2 inhibitors, ACE inhibitor timing","Endocrinology & Diabetes","General consensus (e.g., KDIGO, ADA); General consensus (e.g., ACOG, NICE); NICE [2, 3, 4, 5]",4,
"Adrenal crisis: hydrocortisone emergency protocol, trigger avoidance, sick day rules","Endocrinology & Diabetes","NICE [1]; NICE [2]; NICE [3]",4,
"Adrenal incidentaloma: imaging characteristics, biochemical workup, surveillance protocol","Endocrinology & Diabetes","",4,
"RA in pregnancy: disease course, drug safety, biologics, MTX cessation","Rheumatology","",4,
"Prolactinoma: microprolactinoma vs macroprolactinoma, cabergoline, surgical indications","Endocrinology & Diabetes","",4,
"Perioperative management of RA: holding DMARDs and biologics for surgery","Rheumatology","",4,
"Vitamin D deficiency: 25-OHD thresholds, supplementation doses, osteomalacia","Endocrinology & Diabetes","NICE [5]; NICE [3], [6]; NICE [4]",4,
"Inflammatory myopathies: dermatomyositis, polymyositis, IBM, anti-synthetase syndrome","Rheumatology","ACR/CHEST [3], ERS/EULAR [1], Expert Consensus [2]; EULAR/ACR [4]; ERS/EULAR [1], Expert Consensus [2]",4,
"Sjogren syndrome: sicca symptoms, anti-Ro, anti-La, MALT lymphoma risk, systemic features","Rheumatology","General knowledge on Sjögren's syndrome complications (often",4,
"Mixed connective tissue disease: anti-U1-RNP, overlap features, pulmonary hypertension","Rheumatology","ERS/EULAR [1], Portuguese Societies [2]; ACR/CHEST [3], ERS/EULAR [1]",4,
"Thyroiditis: Hashimotos, de Quervains, postpartum - phases, TSH trajectory, management","Endocrinology & Diabetes","",4,
"ANCA-associated vasculitis: GPA, MPA, EGPA: classification, renal involvement, ANCA serology","Rheumatology","",4,
"Polycystic ovary syndrome PCOS: Rotterdam criteria, insulin resistance, androgen excess","Endocrinology & Diabetes","NICE",4,
"Metabolic syndrome: diagnostic criteria, cardiovascular risk, lifestyle and pharmacological management","Endocrinology & Diabetes","",4,
"Glucocorticoid tapering: adrenal suppression, disease flare prevention, steroid-sparing agents","Rheumatology","EULAR 2025",4,
"Neuropsychiatric SLE: NPSLE syndromes, attribution, immunosuppression vs anticoagulation","Rheumatology","EULAR 2008",4,
"Axial spondyloarthritis: ASAS criteria, nr-axSpA vs AS, MRI sacroiliitis","Rheumatology","ACR/SAA/SPARTAN [3], ASAS-EULAR [5]",4,
"Psoriatic arthritis: CASPAR criteria, peripheral and axial patterns, enthesitis, dactylitis","Rheumatology","",1,
"Reactive arthritis: Reiter syndrome, triggers, HLA-B27, management","Rheumatology","",4,
"Gout: hyperuricaemia pathophysiology, acute attack management, colchicine dosing","Rheumatology","EULAR 2016",4,
"Basic calcium phosphate deposition: hydroxyapatite, Milwaukee shoulder, calcific tendinitis","Rheumatology","EULAR guideline [1]; EULAR guideline [2]; EULAR guideline [3]",4,
"Systemic sclerosis: limited vs diffuse, antitopoisomerase vs anticentromere antibodies","Rheumatology","ACR/CHEST 2021; EULAR 2017",4,
"Scleroderma renal crisis: ACE inhibitors, hypertensive emergency, captopril","Rheumatology","",4,
"Familial hypercholesterolaemia: LDL-C targets, statins, PCSK9 inhibitors, cascade testing","Endocrinology & Diabetes","",4,
"Giant cell arteritis: jaw claudication, vision loss, ESR, CRP, temporal artery biopsy","Rheumatology","EULAR; EULAR, ACR",4,
"Polymyalgia rheumatica: diagnostic criteria, low-dose prednisolone, relapse, GCA overlap","Rheumatology","EULAR/ACR [3]",4,
"IgA vasculitis Henoch-Schonlein: skin, joints, renal, GI involvement in adults","Rheumatology","",4,
"Takayasu arteritis: large vessel vasculitis, imaging, management, biologics","Rheumatology","EULAR 2024",4,
"Osteoarthritis: pathophysiology, risk factors, radiographic grading, pharmacological management","Rheumatology","EULAR, KNGF; EULAR, ACR/Arthritis Foundation",4,
"Intra-articular injections in OA: corticosteroids, hyaluronic acid, PRP: evidence review","Rheumatology","",4,
"Total joint replacement in OA: indications, outcomes, complications, revision rates","Rheumatology","AAOS 2017; IDSA/FDA 2013",4,
"Osteoporosis: DEXA, FRAX, T-score thresholds, fracture risk assessment","Rheumatology","",4,
"Glucocorticoid-induced osteoporosis: ACR guidelines, fracture risk, prophylaxis timing","Rheumatology","",4,
"Treatment of psoriatic arthritis: NSAIDs, csDMARDs, IL-17, IL-23, TNF inhibitors","Rheumatology","",4,2017
"Familial Mediterranean fever: MEFV mutations, colchicine, amyloidosis prevention","Rheumatology","",4,
"Haemophagocytic lymphohistiocytosis HLH: HScore, ferritin, triggers, treatment","Rheumatology","EULAR/ACR Points to Consider",0,
"Fibromyalgia: 2016 ACR diagnostic criteria, central sensitisation, non-pharmacological management","Rheumatology","",4,
"Hydroxychloroquine retinopathy: Marmor guidelines, OCT screening, dose limits","Rheumatology","",4,
"Diabetic retinopathy: screening intervals, laser photocoagulation, anti-VEGF therapy","Endocrinology & Diabetes","NICE [3]; NICE [1]; NICE [1], [2]",4,
"Late-onset hypogonadism: diagnostic thresholds, testosterone replacement risks, monitoring","Endocrinology & Diabetes","",4,
"Type 2 diabetes cardiovascular outcomes","Endocrinology & Diabetes","NICE 2024; NICE 2015",4,
"Diabetic foot: Wagner classification, multidisciplinary care, offloading, osteomyelitis","Endocrinology & Diabetes","NICE 2015 [1]; SPILF [2]; NICE 2015 [4]",4,
"Diabetic peripheral neuropathy: screening, painful neuropathy pharmacotherapy","Endocrinology & Diabetes","NICE 2019",4,
"SGLT2 inhibitors: mechanism, heart failure and renal benefits, euglycaemic DKA risk","Endocrinology & Diabetes","",4,
"Cardiovascular outcomes in diabetes: SGLT2i and GLP-1 agonist trial evidence","Endocrinology & Diabetes","NICE 2024",4,
"Metformin: mechanism, renal dose adjustment, lactic acidosis, PCOS use","Endocrinology & Diabetes","",4,
"GLP-1 receptor agonists: weight loss, cardiovascular outcomes, GI tolerability","Endocrinology & Diabetes","",4,
"Septic arthritis: diagnosis, Gram stain, joint aspiration, empirical antibiotics, surgical drainage","Rheumatology","",4,
"Sulfonylureas and meglitinides: hypoglycaemia risk, renal failure considerations","Endocrinology & Diabetes","",4,
"Insulin pharmacokinetics: basal, prandial, premixed types - dosing and switching","Endocrinology & Diabetes","NICE 2008, amended 2020",4,
"Hypothyroidism: TSH targets, levothyroxine dosing, subclinical hypothyroidism management","Endocrinology & Diabetes","NICE",4,
"Carpal tunnel syndrome: median nerve compression, Phalen, EMG, conservative vs surgical","Rheumatology","AAOS/ASSH 2016",4,
"Shoulder pain: rotator cuff disease, frozen shoulder, acromioclavicular OA, referred pain","Rheumatology","",4,
"Juvenile idiopathic arthritis JIA: ILAR categories, oligoarticular, polyarticular, systemic","Rheumatology","",4,
"Kawasaki disease: diagnostic criteria, IVIG, aspirin, coronary artery aneurysm","Rheumatology","",4,
"Synovial fluid analysis: WBC thresholds, crystals, viscosity, culture interpretation","Rheumatology","",4,
"Thyroid storm: Burch-Wartofsky score, propylthiouracil, beta-blockade, supportive care","Endocrinology & Diabetes","",4,
"Graves disease: antithyroid drugs, radioiodine, thyroidectomy - comparative outcomes","Endocrinology & Diabetes","NICE [4]; NICE [1]; NICE [5]",4,
"Thyroid nodules: ATA risk stratification, ultrasound features, FNA indications","Endocrinology & Diabetes","NICE",4,
"Medullary thyroid cancer: RET proto-oncogene, MEN2, calcitonin monitoring","Endocrinology & Diabetes","NICE [1]; NICE [6]",4,
"Differentiated thyroid cancer: papillary vs follicular, TNM staging, RAI ablation","Endocrinology & Diabetes","NICE",4,
"Thyroid function in pregnancy: trimester-specific TSH ranges, foetal development","Endocrinology & Diabetes","NICE [5]; NICE [6]; NICE [1]",4,
"Primary hyperparathyroidism: asymptomatic management criteria, parathyroidectomy indications","Endocrinology & Diabetes","[4], [5], [6] NICE",4,
"Anaplastic thyroid cancer: rapid progression, multimodal treatment, dabrafenib","Endocrinology & Diabetes","",4,
"Secondary adrenal insufficiency: HPA axis testing, glucocorticoid replacement, sick day rules","Endocrinology & Diabetes","NICE [1]; NICE [2]; NICE [6]",4,
"Primary adrenal insufficiency Addisons disease: autoimmune causes, crisis prevention","Endocrinology & Diabetes","NICE",4,
"Cushings syndrome: ACTH-dependent vs independent, screening, dexamethasone suppression","Endocrinology & Diabetes","",4,
"Primary hyperaldosteronism Conns: aldosterone-renin ratio, adrenal vein sampling","Endocrinology & Diabetes","",4,
"Phaeochromocytoma: catecholamine excess, alpha-blockade before surgery, genetic testing","Endocrinology & Diabetes","NICE 2019",4,
"Paraganglioma: extra-adrenal location, SDHB mutation, malignant potential, surveillance","Endocrinology & Diabetes","",4,
"Congenital adrenal hyperplasia: 21-hydroxylase deficiency, glucocorticoid replacement","Endocrinology & Diabetes","",4,
"Acromegaly: IGF-1 elevation, GH suppression test, somatostatin analogues, pegvisomant","Endocrinology & Diabetes","",4,
"Hypopituitarism: causes, axis-by-axis replacement, insulin tolerance test","Endocrinology & Diabetes","",4,
"Craniopharyngioma: suprasellar location, hypothalamic obesity, visual field defects","Endocrinology & Diabetes","",4,
"SIADH: euvolaemic hyponatraemia, diagnostic criteria, fluid restriction, vaptans","Endocrinology & Diabetes","ESICM/ESE/ERA-EDTA 2023",4,
"Diabetes insipidus: central vs nephrogenic, water deprivation test, desmopressin","Endocrinology & Diabetes","NICE 2010",4,
"Pituitary apoplexy: sudden onset headache, visual loss, emergency hydrocortisone, surgery","Endocrinology & Diabetes","",4,
"Non-functioning pituitary adenoma: chiasmal compression, surveillance vs surgery","Endocrinology & Diabetes","",4,
"Hypoparathyroidism: post-surgical causes, calcium replacement, PTH replacement therapy","Endocrinology & Diabetes","",4,
"Hypertriglyceridaemia: pancreatitis risk threshold, fibrates, omega-3, dietary management","Endocrinology & Diabetes","",4,
"EULAR recommendations 2022 for RA management: updated treat-to-target algorithm","Rheumatology","EULAR 2022",0,
"Lactose Intolerance","Gastroenterology","",4,
"Osteoporosis: FRAX score, DXA interpretation, bisphosphonate drug holiday, fracture prevention","Endocrinology & Diabetes","NICE 2017, amended 2023; NICE; NICE 2013, amended 2017",4,
"Neuroendocrine tumours: WHO grading G1/G2/G3, Ki-67, somatostatin receptor imaging","Endocrinology & Diabetes","",4,
"Secondary hyperparathyroidism in CKD: CKD-MBD, phosphate binders, cinacalcet","Endocrinology & Diabetes","",2,
"Familial hypocalciuric hypercalcaemia: CaSR mutation, benign course, avoid parathyroidectomy","Endocrinology & Diabetes","",4,
"Premature ovarian insufficiency: FSH levels, HRT indications, fertility counselling","Endocrinology & Diabetes","",4,
"Endocrine hypertension: systematic approach to Conns, phaeochromocytoma, Cushings","Endocrinology & Diabetes","",4,
"Male hypogonadism: primary vs secondary, testosterone replacement, monitoring","Endocrinology & Diabetes","",4,
"Delayed puberty: constitutional delay vs hypogonadotrophic vs hypergonadotrophic causes","Endocrinology & Diabetes","",4,
"Precocious puberty: central vs peripheral causes, GnRH agonist treatment","Endocrinology & Diabetes","",4,
"Bariatric surgery: sleeve gastrectomy vs RYGB, nutritional deficiencies, dumping syndrome","Endocrinology & Diabetes","",4,
"G6PD Deficiency","Haematology","",4,
"Insulin pump therapy CSII: closed-loop systems, patient selection, sick day rules","Endocrinology & Diabetes","NICE [1]",4,
"Hyperthyroidism: Graves disease vs toxic nodular goitre, TSH receptor antibodies","Endocrinology & Diabetes","",4,
"Hypercalcaemia of malignancy: PTHrP, bisphosphonate, denosumab, hydration","Endocrinology & Diabetes","NICE [4]",4,
"Hypophosphataemia: FGF-23 excess, X-linked hypophosphataemia, burosumab treatment","Endocrinology & Diabetes","",4,
"Non-alcoholic fatty liver disease NAFLD: insulin resistance link, FIB-4 score, management","Endocrinology & Diabetes","EASL-EASD-EASO",4,
"Gender-affirming hormone therapy: feminising and masculinising protocols, safety monitoring","Endocrinology & Diabetes","",4,
"Glucocorticoid-induced osteoporosis: prevention, bisphosphonate indications, fracture risk","Endocrinology & Diabetes","",4,
"Mycophenolate mofetil in rheumatic disease: lupus nephritis, ILD, dosing, teratogenicity","Rheumatology","Multiple guidelines on lupus nephritis management and pregna",0,
"Thyroid cancer surveillance: recurrence monitoring, thyroglobulin, neck ultrasound protocols","Endocrinology & Diabetes","",4,
"Adrenocortical carcinoma: staging, mitotane therapy, surgical resection, prognosis","Endocrinology & Diabetes","",4,
"Leflunomide in RA: mechanism, dosing, washout procedure, hepatotoxicity monitoring","Rheumatology","EULAR guideline [1]; EULAR guideline [2]; EULAR guideline [3]",4,
"Diabetic autonomic neuropathy: gastroparesis, orthostatic hypotension, cardiac autonomic neuropathy","Endocrinology & Diabetes","",4,
"Prediabetes: impaired fasting glucose, impaired glucose tolerance, prevention interventions","Endocrinology & Diabetes","",4,
"Autoinflammatory syndromes: TRAPS, CAPS, HIDS, IL-1 pathway, canakinumab","Rheumatology","",4,
"RA treat-to-target strategy: DAS28, SDAI, CDAI remission thresholds","Rheumatology","",4,
"TNF inhibitors in RA: adalimumab, etanercept, infliximab: efficacy, TB screening, contraindications","Rheumatology","",4,
"Vaccinations in immunosuppressed rheumatology patients: timing, live vs killed, pneumococcal, shingles","Rheumatology","EULAR/PRES 2021; EULAR/PRES 2021, European Journal of Pediatrics 2011",0,
"Urate-lowering therapy: allopurinol, febuxostat, target serum urate, titration","Rheumatology","EULAR 2017",4,
"MRI in inflammatory arthritis: bone marrow oedema, erosions, tenosynovitis scoring","Rheumatology","EULAR recommendations (implied by the need for strong pharma; EULAR recommendations (implied by the focus on assessing dis",0,
"Abatacept in RA: T-cell co-stimulation blockade, seropositive advantage, safety profile","Rheumatology","EULAR 2022",4,
"Superior Vena Cava Syndrome","Oncology","",4,
"Early Breast Cancer","Oncology","NCCN Guidelines; ASCO",4,
"Short Bowel Syndrome","Gastroenterology","ESPEN 2006; ESPEN 2023",4,
"Small Bowel Bacterial Overgrowth","Gastroenterology","",4,
"Coeliac Disease","Gastroenterology","",4,
"Microscopic Colitis","Gastroenterology","",4,
"Oesophageal Motility Disorders","Gastroenterology","",4,
"Oesophageal Strictures","Gastroenterology","",4,
"Oesophageal Varices","Gastroenterology","",4,
"Mallory-Weiss Syndrome","Gastroenterology","",4,
"Hiatal Hernia","Gastroenterology","",4,
"Helicobacter pylori infection","Gastroenterology","",4,
"Peptic Ulcer Disease","Gastroenterology","NICE 2026 — Guidelines for the prevention and treatment of s",0,
"Gastric Cancer","Gastroenterology","NCCN Guideline [1]; NCCN Guideline [2]",4,
"Gastroparesis","Gastroenterology","",4,
"Gastric Polyps","Gastroenterology","",4,
"Functional Dyspepsia","Gastroenterology","",4,
"Zollinger-Ellison Syndrome","Gastroenterology","",4,
"Mesenteric Ischaemia","Gastroenterology","",4,
"Intestinal Lymphoma","Gastroenterology","",4,
"Pouchitis","Gastroenterology","",4,
"Diverticular Disease","Gastroenterology","",4,
"Chronic Pancreatitis","Gastroenterology","ESPEN, AGA",4,
"Pancreatic Ductal Adenocarcinoma","Gastroenterology","",4,
"Autoimmune Pancreatitis","Gastroenterology","",4,
"Pancreatic Neuroendocrine Tumours","Gastroenterology","",4,
"Pancreatic Cystic Lesions","Gastroenterology","",4,
"Walled-Off Pancreatic Necrosis","Gastroenterology","",4,
"Parenteral Nutrition","Gastroenterology","ESPEN 2017",4,
"Refeeding Syndrome","Gastroenterology","",4,
"Endoscopic Ultrasound","Gastroenterology","",4,
"Capsule Endoscopy","Gastroenterology","",4,
"Faecal Microbiota Transplant","Gastroenterology","",4,
"Lower GI Bleeding","Gastroenterology","NICE 2026 [G1] — Apixaban and rivaroxaban associated with RR; NICE 2026 [G2] — BUN/Cr ratio cut-off 22 provides 66.2% sens; NICE 2026 [G3] — VCE is safe in CIED patients with 0.9% devi",0,
"Primary Sclerosing Cholangitis","Gastroenterology","",4,
"Acute Cholangitis","Gastroenterology","",4,
"Gallbladder Carcinoma","Gastroenterology","",4,
"Biliary Strictures","Gastroenterology","",4,
"Anorectal Disorders","Gastroenterology","",4,
"Acalculous Cholecystitis","Gastroenterology","",4,
"Faecal Incontinence","Gastroenterology","",4,
"Rectal Prolapse","Gastroenterology","",4,
"Clostridioides difficile Infection","Gastroenterology","",4,
"Anal Cancer","Gastroenterology","ESMO-ESSO-ESTRO clinical practice guidelines",4,
"GI Manifestations of Systemic Disease","Gastroenterology","ERS/EULAR [1, 2]; EULAR/PReS [4]",0,
"GI Stromal Tumours","Gastroenterology","",4,
"Malnutrition Assessment in GI Disease","Gastroenterology","EASL 2019; AGA 2023, EASL 2019",0,
"GI Bleeding in Anticoagulated Patients","Gastroenterology","Gastroenterology / AGA, Journal of hepatology / EASL; Journal of clinical oncology / ASCO; Journal of hepatology / EASL",0,
"Intestinal Tuberculosis","Gastroenterology","",4,
"Colonic Volvulus","Gastroenterology","",4,
"GI Endoscopy Quality Indicators","Gastroenterology","",4,
"Gastroesophageal Reflux Disease","Gastroenterology","",4,
"Eosinophilic Oesophagitis","Gastroenterology","",4,
"Diagnostic Colonoscopy","Gastroenterology","",4,
"Choledocholithiasis","Gastroenterology","",4,
"Cholangiocarcinoma","Gastroenterology","EASL 2023, ESMO 2020, EASL-ILCA 2020; NCCN 2023, ESMO 2020, EASL-ILCA 2020; ESMO 2020, EASL-ILCA 2020",4,
"GI Adverse Effects of Immunotherapy","Gastroenterology","NCCN 2023, SITC 2022",0,
"Intestinal Pseudo-obstruction","Gastroenterology","",4,
"Intestinal Failure and Home Parenteral Nutrition","Gastroenterology","Clinical nutrition ESPEN 2019",0,
"Systemic Lupus Erythematosus","Rheumatology","EULAR/ACR 2019; EULAR 2019",4,
"Neuropsychiatric SLE","Rheumatology","EULAR 2008",4,
"Antiphospholipid Syndrome","Rheumatology","",4,
"Systemic Sclerosis","Rheumatology","",4,
"Scleroderma Renal Crisis","Rheumatology","",4,
"Mixed Connective Tissue Disease","Rheumatology","ERS/EULAR, Portuguese Pulmonology Society, Portuguese Rheuma; ERS/EULAR",4,
"Haematuria: Evaluation and Causes","Nephrology","",4,
"Chronic Tophaceous Gout","Rheumatology","",4,
